1950,11
1951,10.4
1952,9.5
1953,8.4
1954,7.6
1955,5.6
1956,4.4
1957,3.7
1958,3.7
1959,2.6
1960,1.3
1961,0.8
1962,0.7
1963,0.8
1964,0.8
1965,0.7
1966,0.7
1967,2.1
1968,1.5
1969,0.9
1970,0.7
1971,0.8
1972,1.1
1973,1.2
1974,2.6
1975,4.7
1976,4.6
1977,4.5
1978,4.3
1979,3.8
1980,3.8
1981,5.5
1982,7.5
1983,9.1
1984,9.1
1985,9.3
1986,9
1987,8.9
1988,8.7
1989,7.9
1990,7.2
1991,6.2
1992,6.4
1993,8
1994,9
1995,9.1
1996,9.9
1997,10.8
1998,10.3
1999,9.6
2000,8.4
2001,8
2002,8.5
2003,9.3
2004,9.4
